Date of Accident,Aircraft Type,Aircraft Registration,Operator,Deaths,Location,Country,Category,Year
1946-01-19,short sunderland gr.5,PP157,raf,0.0,jesselton,malaysia,a1,1946
1946-01-23,douglas c-47a (dc-3),G-AGIY,boac,0.0,el adem raf station,libya,a1,1946
1946-01-23,curtiss c-46d,42-101210,usaaf,0.0,not reported,unknown country,a1,1946
1946-01-24,douglas dakota iv (dc-3),KN659,raf,0.0,vadodara,india,a1,1946
1946-01-25,douglas dakota iv (dc-3),KK112,raf,0.0,hmawbi raf station,myanmar,a1,1946
1946-01-26,douglas c-47a (dc-3),CA5,central air transport,0.0,near wuhan,china,a1,1946
1946-01-26,douglas c-47 (dc-3),Not Reported,usaaf,4.0,near nanking (nanjing),china,a1,1946
1946-01-27,lisunov li-2,CCCP-L4131,"aeroflot, uzbekistan",0.0,near gerelde,turkmenistan,a1,1946
1946-01-28,douglas dakota iv (dc-3),KP236,raf,0.0,poona raf statio...,india,a1,1946
1946-01-28,douglas c-47b (dc-3),43-16421,usaaf,0.0,near taiwan,pacific ocean,a1,1946
1946-01-29,douglas dakota iv (dc-3),KN496,raf,0.0,takoradi airport...,ghana,a1,1946
1946-01-29,curtiss c-46d,44-78226,usaaf,12.0,near lo-tien-chen,china,a1,1946
1946-01-29,douglas c-47a (dc-3),42-93339,usaaf,2.0,barrackpore air ...,india,a1,1946
1946-01-29,douglas r4d-6 (dc-3),50805,us navy,0.0,near pearl harbor nas...,usa,a1,1946
1946-01-30,douglas dakota iv (dc-3),KN500,raf,11.0,near le mans,france,a1,1946
1946-01-30,douglas dakota iii (dc-3),KG427,raf,0.0,kã¸benhavn-kastr...,denmark,a1,1946
1946-01-30,douglas dakota iv (dc-3),KN326,raf,0.0,semarang airport...,indonesia,a1,1946
1946-01-30,boeing b-17g,OY-DFE,ddl,0.0,kã¸benhavn-kastr...,denmark,a1,1946
1946-01-31,douglas dc-3-194h,NC25675,united airlines,21.0,"elk mountain, wy",usa,a1,1946
1946-01-31,douglas c-47a (dc-3),42-93585,usaaf,0.0,lipa-fernando ai...,philippines,a1,1946
1946-01-31,curtiss c-46d,44-78082,usaaf,0.0,not reported,unknown country,a1,1946
1946-01-31,douglas c-47b (dc-3),43-16243,usaaf,0.0,unknown,unknown country,a1,1946
1946-01-31,douglas c-47b (dc-3),44-76436,usaaf,0.0,unknown,unknown country,a1,1946
1946-01-31,douglas c-47a (dc-3),CCCP-L854,"aeroflot, moscow",3.0,solntsevo distri...,russia,a1,1946
1946-02-01,douglas c-54g (dc-4),45-485,usaaf,0.0,fujisawa air base,japan,a1,1946
1946-02-02,amiot aac.1 (ju-52),F-BALK,air france,0.0,belo airport (bmd),madagascar,a1,1946
1946-02-02,douglas dakota iv (dc-3),KJ996,raf,5.0,near pegu,myanmar,a1,1946
1946-02-02,douglas c-47a (dc-3),43-15755,usaaf,0.0,near aurora-lowry afb...,usa,a1,1946
1946-02-02,douglas c-47a (dc-3),42-92879,usaaf,5.0,near aix-en-provence,france,a1,1946
1946-02-03,douglas dakota iii (dc-3),KG502,raf,6.0,near carlisle,u.k.,a1,1946
1946-02-03,douglas r5d-2 (c-54b),90395,us navy,0.0,not reported,china,a1,1946
1946-02-04,amiot aac.1 (ju-52),F-BAKO,air france,0.0,menorca-mahã³n a...,spain,a1,1946
1946-02-05,douglas dc-3a-414a,PP-CBS,cruzeiro do sul,0.0,"ilhã©us airport,...",brazil,a1,1946
1946-02-05,douglas c-47a (dc-3),42-23619,usaaf,24.0,negros island,philippines,a1,1946
1946-02-07,douglas dakota iv (dc-3),KP219,raf,0.0,dhorro naro,india,a1,1946
1946-02-07,junkers ju-52/3m,T.2-5,spanish af,10.0,near huerta,spain,a1,1946
1946-02-09,douglas c-47a (dc-3),42-93598,usaaf,0.0,near dumog,philippines,a1,1946
1946-02-11,douglas dakota iv (dc-3),KN205,raf,0.0,near saigon,vietnam,a1,1946
1946-02-12,lockheed 18 lodestar,YV-AFI,lav,0.0,near barquisimeto,venezuela,a1,1946
1946-02-12,douglas dakota iv (dc-3),KN229,raf,5.0,victoria point,myanmar,a1,1946
1946-02-12,douglas dakota iv (dc-3),KN206,raf,0.0,victoria point a...,myanmar,o1,1946
1946-02-13,douglas dakota iii (dc-3),KG397,rcaf,8.0,near warlingham,u.k.,a1,1946
1946-02-13,short sunderland gr.5,VB885,raf,10.0,lee-on-solent,u.k.,a1,1946
1946-02-15,curtiss c-46d,44-78240,usaaf,0.0,not reported,unknown country,a1,1946
1946-02-15,douglas c-47a (dc-3),A65-11,raaf,0.0,lae,p.n. guinea,a1,1946
1946-02-15,douglas c-47b (dc-3),43-48915,usaaf,0.0,"near orlando, fl",usa,a1,1946
1946-02-15,short s.25 sunderland 3,G-AGET,boac,1.0,calcutta,india,o1,1946
1946-02-19,douglas c-47b (dc-3),43-48320,usaaf,0.0,"near sanborn, ny",usa,a1,1946
1946-02-19,short sunderland gr.3,PP121,raf,0.0,wig bay,u.k.,o1,1946
1946-02-20,lisunov ps-84,CCCP-L4162,aeroflot,0.0,minsk-1 airport ...,belarus,a1,1946
1946-02-21,consolidated 32-2 liberator ii,G-AGEM,boac,1.0,"charlottetown, p...",canada,a1,1946
1946-02-21,curtiss r5c-1 (c-46),50695,usmc,0.0,johnston island ...,u.s. m.o. islands,a1,1946
1946-02-22,douglas dakota iv (dc-3),KJ851,raf,0.0,bandung airport ...,indonesia,a1,1946
1946-02-22,douglas dakota iv (dc-3),KK208,raf,0.0,near yangon-mingalado...,myanmar,a1,1946
1946-02-23,douglas dakota iii (dc-3),KG799,raf,0.0,near mã©lisey,france,a1,1946
1946-02-25,douglas c-47 (dc-3),NC14941,air carrier transport,0.0,"newark, nj",usa,a1,1946
1946-02-25,douglas c-47b (dc-3),A65-110,raaf,0.0,tacloban airport...,philippines,a1,1946
1946-02-27,douglas c-47a (dc-3),A65-24,raaf,0.0,laverton airport...,australia,o1,1946
1946-03-01,douglas dc-2-243,C-157,taca de colombia,0.0,medellin,colombia,a1,1946
1946-03-01,douglas dakota iii (dc-3),KG425,raf,0.0,anzio,italy,a1,1946
1946-03-03,douglas dc-3-277b,NC21799,american airlines,25.0,"thing mountain, ca",usa,a1,1946
1946-03-03,douglas c-47 (dc-3),CA2,central air transport,0.0,"jinan, shandong",china,a1,1946
1946-03-04,short s.25 sunderland 3,G-AGEV,boac,0.0,poole harbour,u.k.,a1,1946
1946-03-05,amiot aac.1 (ju-52),OK-ZDN,csa,10.0,near praha-ruzyne int...,czech rep.,a1,1946
1946-03-05,short sunderland gr.3,EK595,raf,0.0,basra,iraq,a1,1946
1946-03-06,douglas dakota iv (dc-3),KJ951,raf,0.0,jakarta-kemayora...,indonesia,a1,1946
1946-03-08,douglas c-47a (dc-3),NC39188,air cargo transport,0.0,newark internati...,usa,o1,1946
1946-03-08,douglas c-47 (dc-3),NC41798,air cargo transport,0.0,newark internati...,usa,o1,1946
1946-03-08,douglas dc-3,NC13726,air cargo transport,0.0,"newark, nj (ewr)",usa,u1,1946
1946-03-10,douglas c-47 (dc-3),VH-AET,ana,25.0,derwent river es...,australia,a1,1946
1946-03-10,short s.25 sunderland 3,G-AGHV,boac,0.0,rod-el-farag,egypt,o1,1946
1946-03-11,consolidated pby-5a catalina,48389,us navy,0.0,"near newport beach, de",usa,a1,1946
1946-03-12,douglas dakota iii (dc-3),FD828,raf,0.0,radcliffe-on-trent,u.k.,a1,1946
1946-03-12,douglas dakota iii (dc-3),FD823,raf,0.0,unknown,unknown country,a1,1946
1946-03-14,douglas dakota iii (dc-3),KN317,raf,0.0,unknown,unknown country,a1,1946
1946-03-15,douglas dakota iv (dc-3),KN351,raf,0.0,yangon-mingalado...,myanmar,a1,1946
1946-03-15,douglas dakota iv (dc-3),KN614,raf,0.0,singapore-kallan...,singapore,a1,1946
1946-03-16,douglas c-47b (dc-3),43-48775,usaaf,3.0,near zirc,hungary,a1,1946
1946-03-17,douglas c-47 (dc-3),Not Reported,china air force,20.0,nanjing,china,a1,1946
1946-03-19,douglas c-47b (dc-3),45-1085,usaaf,26.0,"near hobard mills, ca",usa,a1,1946
1946-03-20,douglas c-47b (dc-3),44-77256,usaaf,0.0,seoul-gimpo (kim...,south korea,a1,1946
1946-03-22,lisunov li-2,Not Reported,"aeroflot, yakutsk",0.0,near anadyr,russia,a1,1946
1946-03-22,douglas c-47a (dc-3),CCCP-L893,aeroflot,5.0,"near bakovka, kuntsev...",russia,a1,1946
1946-03-23,avro 691 lancastrian c.1,G-AGLX,"boac, op.for qantas",10.0,indian ocean,indian ocean,a1,1946
1946-03-23,curtiss c-46d,44-77403,usaaf,0.0,not reported,unknown country,a1,1946
1946-03-23,douglas c-47b (dc-3),43-16211,usaaf,19.0,banahao mountain,philippines,a1,1946
1946-03-26,douglas dakota iv (dc-3),KN366,raf,4.0,lantau island,hong kong,a1,1946
1946-03-27,short sunderland gr.5,PP103,raf,13.0,singapore-seleta...,singapore,a1,1946
1946-03-28,douglas dakota iii (dc-3),KG660,raf,0.0,brampton,u.k.,a1,1946
1946-03-28,consolidated pby-5 catalina,08437,us navy,0.0,corpus christi n...,usa,a1,1946
1946-03-28,kawasaki ki-56,514,dalstroi aviation,1.0,zyryanka airport,russia,a1,1946
1946-03-28,douglas dakota (dc-3),FD783,raf,0.0,unknown,unknown country,u1,1946
1946-03-29,lockheed l-049 constellation,NC86510,twa,0.0,washington-natio...,usa,a1,1946
1946-03-29,douglas dakota iv (dc-3),KN644,raf,5.0,near sinhkung,myanmar,a1,1946
1946-03-29,douglas dakota iv (dc-3),KN643,raf,8.0,near sinhkung,myanmar,a1,1946
1946-03-29,douglas dakota iv (dc-3),KP270,raf,7.0,bina,myanmar,a1,1946
1946-03-31,douglas r4d-7 (dc-3),39100,us navy,6.0,near touho,new caledonia,a1,1946
1946-03-31,douglas c-47a (dc-3),CA6,central air transport,0.0,hunan,china,a1,1946
1946-04-01,consolidated pby-5a catalina,46612,us navy,0.0,port angeles cga...,usa,a1,1946
1946-04-01,consolidated pby-5a catalina,48270,us navy,0.0,"laupahoehoe, hi",usa,a1,1946
1946-04-02,douglas c-47a (dc-3),CCCP-L924,aeroflot,6.0,"mount guram, nor...",russia,a1,1946
1946-04-03,douglas dakota iv (dc-3),KP241,raf,2.0,stoney cross raf...,u.k.,a1,1946
1946-04-04,douglas r4d-6 (dc-3),50771,us navy,11.0,near albuquerque-kirt...,usa,a1,1946
1946-04-04,douglas dakota iii (dc-3),KG361,raf,0.0,unknown,unknown country,a1,1946
1946-04-05,ford 4-at-d tri-motor,HC-SBC,shell ecuador,0.0,ayuy airstrip,ecuador,a1,1946
1946-04-05,douglas c-47a (dc-3),42-100740,usaaf,0.0,lee-on-solent,u.k.,a1,1946
1946-04-08,douglas c-47b (dc-3),43-16360,usaaf,17.0,near shensi,china,a1,1946
1946-04-08,douglas c-47b (dc-3),44-76640,usaaf,0.0,shanghai-jiangwa...,china,a1,1946
1946-04-11,avro 685 york c.1,MW180,raf,0.0,lyneham raf stat...,u.k.,a1,1946
1946-04-11,avro 685 york c.1,MW252,raf,1.0,woodbridge raf s...,u.k.,a1,1946
1946-04-17,douglas c-47a (dc-3),G-AGHK,boac,0.0,oviedo airport (...,spain,a1,1946
1946-04-17,douglas dakota iii (dc-3),KG594,raf,0.0,near wymeswold,u.k.,a1,1946
1946-04-18,douglas c-47a (dc-3),42-92056,usaaf,0.0,bovingdon raf st...,u.k.,a1,1946
1946-04-21,douglas c-47b (dc-3),PP-CCA,cruzeiro do sul,0.0,"corumbã¡, ms",brazil,u1,1946
1946-04-21,short sunderland gr.5,PP132,raf,0.0,hong kong-kai ta...,hong kong,a1,1946
1946-04-22,lockheed b14-s super electra,AN-ACC,taca de nicaragua,18.0,la libertad airs...,nicaragua,a1,1946
1946-04-23,vickers 491 viking 1a,G-AGOK,vickers-armstrongs,0.0,effingham,u.k.,a1,1946
1946-04-24,douglas dc-3a-367,NC33621,western air lines,3.0,"near hollywood, ca",usa,a1,1946
1946-04-24,douglas c-47 (dc-3),41-18530,usaaf,0.0,tarawa atoll,kiribati,a1,1946
1946-04-26,douglas dakota iv (dc-3),KN571,raf,0.0,bassingbourn raf...,u.k.,a1,1946
1946-04-26,douglas c-47 (dc-3),41-7770,usaaf,0.0,san josã©-la sab...,costa rica,a1,1946
1946-04-28,douglas c-47b (dc-3),PP-CCD,cruzeiro do sul,0.0,"near barcelos, am",brazil,a1,1946
1946-04-28,avro 685 york c.1,MW256,raf,0.0,valley raf station,u.k.,a1,1946
1946-04-28,junkers ju-52/3m,CCCP-L27,"aeroflot, west siberia",0.0,near kazan,russia,a1,1946
1946-04-30,douglas dakota iii (dc-3),FZ559,raf,12.0,pindi-khut,india,a1,1946
1946-04-30,curtiss c-46d,44-78339,usaaf,0.0,tsushima strait,japan,a1,1946
1946-05-01,curtiss c-46f,44-78555,usaaf,0.0,near peiping,china,a1,1946
1946-05-02,avro 691 lancastrian c.1,G-AGMC,boac,0.0,"sydney, nsw",australia,a1,1946
1946-05-04,douglas dakota iv (dc-3),KP271,raf,0.0,alwar,india,a1,1946
1946-05-05,curtiss c-46d,44-78268,usaaf,1.0,oshima island,japan,a1,1946
1946-05-06,douglas c-47a (dc-3),43-15676,usaaf,0.0,near heidelberg,germany,a1,1946
1946-05-06,pb2b-1 catalina,44223,us navy,0.0,corpus christi n...,usa,a1,1946
1946-05-06,douglas c-47a (dc-3),42-93717,usaaf,0.0,near heidelberg,germany,a2,1946
1946-05-07,douglas dakota iii (dc-3),KG521,raf,0.0,simra airport (sif),nepal,a1,1946
1946-05-07,douglas dakota iii (dc-3),KG741,raf,0.0,desborough raf s...,u.k.,a2,1946
1946-05-07,douglas c-47b (dc-3),44-77157,usaaf,0.0,manila-nichols a...,philippines,a1,1946
1946-05-15,budd rb-1 conestoga,HC-SBE,shell ecuador,0.0,pastaza-shell me...,ecuador,a1,1946
1946-05-16,douglas c-47a (dc-3),NC53218,viking air transport,27.0,near richmond-byrd fi...,usa,a1,1946
1946-05-17,avro 691 lancastrian c.1,G-AGMH,boac,0.0,karachi-mauripur...,pakistan,a1,1946
1946-05-17,douglas c-47b (dc-3),43-48308,usaaf,11.0,within india,india,a1,1946
1946-05-22,junkers ju-52/3mg4e,LN-LAB,dnl,12.0,oslo-fornebu air...,norway,a1,1946
1946-05-23,avro 685 york c.1,MW191,raf,0.0,karachi-mauripur...,pakistan,a1,1946
1946-05-25,douglas c-54g (dc-4),45-489,usaaf,5.0,near guam,pacific ocean,a1,1946
1946-05-26,douglas r4d-5 (dc-3),17144,us navy,4.0,"near flagler beach, fl",usa,a1,1946
1946-05-28,douglas dakota iv (dc-3),KK188,raf,0.0,kawdut,myanmar,a1,1946
1946-05-28,avro 685 york c.1,MW250,raf,0.0,stradishall raf ...,u.k.,a1,1946
1946-05-29,douglas c-54a (dc-4),NC30065,united airlines,0.0,chicago municipa...,usa,a1,1946
1946-05-29,douglas dakota iv (dc-3),KN501,raf,0.0,jakarta-kemayora...,indonesia,a1,1946
1946-06-01,douglas c-54e (dc-4),44-9078,usaaf,30.0,near amalfi,italy,a1,1946
1946-06-02,douglas dakota iv (dc-3),KJ968,raf,0.0,unknown,unknown country,a1,1946
1946-06-03,consolidated pby-5 catalina,08307,us navy,2.0,"escambia bay, fl",usa,a1,1946
1946-06-04,douglas c-47b (dc-3),44-77251,usaaf,3.0,near aguadilla-ramey ...,puerto rico,a1,1946
1946-06-04,consolidated pby-5a catalina,A24-113,raaf,0.0,near champagny island...,australia,a1,1946
1946-06-06,douglas dakota iii (dc-3),FL509,raf,0.0,delhi-palam airp...,india,o1,1946
1946-06-06,douglas dakota iv (dc-3),KN537,raf,0.0,delhi-palam airp...,india,o1,1946
1946-06-06,douglas dakota iv (dc-3),KP261,raf,0.0,delhi-palam airp...,india,o1,1946
1946-06-07,douglas c-47b (dc-3),43-49018,usaaf,0.0,near agadir,morocco,a1,1946
1946-06-08,douglas dakota iii (dc-3),KG747,raf,22.0,near oni,nigeria,a1,1946
1946-06-09,douglas c-54d (dc-4),43-17231,usaaf,23.0,taboga island,panama,a1,1946
1946-06-11,lockheed 18 lodestar,F-BAML,"ministã¨re de l'air, dti",0.0,asmara internati...,eritrea,a1,1946
1946-06-12,douglas c-53-do (dc-3),EC-CAZ,iberia,0.0,near madrid-barajas a...,spain,a1,1946
1946-06-12,douglas c-47b (dc-3),43-48561,usaaf,0.0,near samar field,philippines,a1,1946
1946-06-13,curtiss c-46a,41-24684,usaaf,0.0,not reported,unknown country,a1,1946
1946-06-13,ford 5-at-b tri-motor,XA-FOH,servicios aã©reos nacionales,0.0,el arenal,mexico,a1,1946
1946-06-14,douglas c-47b (dc-3),43-16213,usaaf,0.0,kwangju airstrip,south korea,a1,1946
1946-06-18,lockheed l-049 constellation,NC88858,pan am,0.0,"willimantic, ct",usa,a2,1946
1946-06-18,douglas dc-3-268b,EI-ACA,aer lingus,0.0,near shannon,ireland,a1,1946
1946-06-20,douglas dakota iv (dc-3),KN226,raf,0.0,semarang airport...,indonesia,a1,1946
1946-06-25,douglas dc-4,XA-FOW,mexicana,0.0,near mexico city-central,mexico,a1,1946
1946-06-25,douglas c-47b (dc-3),6883,south african af,0.0,swartkop air base,south africa,a1,1946
1946-06-26,douglas dakota iv (dc-3),KP264,raf,0.0,near kallar syedan,india,a1,1946
1946-06-28,amiot aac.1 (ju-52),F-BAJS,air france,2.0,near pau-uzein airpor...,france,a1,1946
1946-06-29,douglas dakota iv (dc-3),KJ918,raf,18.0,within cameron highlands,malaysia,a1,1946
1946-06-29,douglas r4d-5 (dc-3),17187,usmc,0.0,near hawaii,pacific ocean,a1,1946
1946-07-02,douglas dc-3-201f,NC28383,twa,0.0,"chicago, il",usa,a1,1946
1946-07-04,bristol 170 wayfarer iia,G-AHJB,bristol,0.0,"near aracaju, brazil",atlantic ocean,a1,1946
1946-07-08,douglas dakota iv (dc-3),KP237,raf,0.0,char chapli,bangladesh,a1,1946
1946-07-10,curtiss r5c-1 (c-46),39585,usmc,0.0,"near palmer, ma",usa,a1,1946
1946-07-11,lockheed l-049 constellation,NC86513,twa,5.0,near reading municipa...,usa,a1,1946
1946-07-11,douglas c-54 (dc-4),Not Reported,usaaf,0.0,near guam,pacific ocean,a1,1946
1946-07-12,douglas r4d-5z (dc-3),17224,us navy,0.0,"ewa mcas, hi",usa,a1,1946
1946-07-13,curtiss c-46,Not Reported,central air transport,13.0,near jinan airport (tna),china,a1,1946
1946-07-16,douglas c-47b (dc-3),44-77139,usaaf,0.0,saishu island,south korea,a1,1946
1946-07-17,curtiss c-46d,HC-SCA,andesa,30.0,near cuenca airport (...,ecuador,a1,1946
1946-07-18,douglas dakota iv (dc-3),KN221,raf,0.0,hong kong-kai ta...,hong kong,o1,1946
1946-07-18,douglas dakota iv (dc-3),KN247,raf,0.0,hong kong-kai ta...,hong kong,o1,1946
1946-07-18,douglas c-47b (dc-3),44-77202,usaaf,0.0,not reported,philippines,a1,1946
1946-07-18,short sunderland gr.5,SZ559,raf,0.0,"sama bay, hainan",china,o1,1946
1946-07-18,short sunderland gr.5,RN264,raf,0.0,"sama bay, hainan",china,o1,1946
1946-07-18,douglas c-47b (dc-3),45-930,usaaf,13.0,"near goodland, ks",usa,a1,1946
1946-07-18,fairchild c-82a packet,44-22964,usaaf,0.0,bellevue-offutt ...,usa,a1,1946
1946-07-18,douglas dakota iv (dc-3),KN687,raf,0.0,hong kong-kai ta...,hong kong,o1,1946
1946-07-22,douglas c-47a (dc-3),OO-CBH,sabena,0.0,"kinvara, galway",ireland,a1,1946
1946-07-25,douglas dakota iv (dc-3),KN585,raf,22.0,near bassein,myanmar,a1,1946
1946-07-26,douglas dakota iii (dc-3),FD794,raf,0.0,unknown,unknown country,a1,1946
1946-07-26,douglas c-47 (dc-3),C-101,avianca,0.0,honda,colombia,a2,1946
1946-07-27,douglas dc-2-199,VH-UXJ,ana,0.0,melbourne-essend...,australia,a1,1946
1946-07-27,sncaso s.o.93 corse,F-BBAP,sncaso,2.0,"general pacheco, ba",argentina,a1,1946
1946-07-28,douglas dc-3a-228c,XA-DEE,mexicana,0.0,mexico city,mexico,o1,1946
1946-08-01,douglas dakota iv (dc-3),KN430,raf,0.0,hong kong-kai ta...,hong kong,a1,1946
1946-08-05,douglas c-74 globemaster i,42-65403,usaaf,0.0,"torrance, ca",usa,a1,1946
1946-08-05,douglas r4d-6 (dc-3),99852,us navy,0.0,willow grove nas...,usa,a1,1946
1946-08-07,douglas c-47a (dc-3),G-AHCS,bea,3.0,near oslo,norway,a1,1946
1946-08-07,consolidated pby-5a catalina,48284,us navy,6.0,"near point arena, ca",pacific ocean,a1,1946
1946-08-08,douglas c-47a (dc-3),NC50040,trans caribbean air cargo line,0.0,lumberton airpor...,usa,a1,1946
1946-08-08,amiot aac.1 (ju-52),F-BAJT,air france,0.0,paris-le bourget...,france,u1,1946
1946-08-09,lockheed 18 lodestar,NC45337,atlantic central airlines,4.0,"lakehurst, nj",usa,a1,1946
1946-08-09,douglas c-47a (dc-3),43-15376,usaaf,0.0,near kranj,slovenia,c1,1946
1946-08-09,douglas c-47a (dc-3),42-100917,usaaf,0.0,bovingdon raf st...,u.k.,a1,1946
1946-08-12,junkers ju-52/3m,B-46,french af,0.0,near enniskerry,ireland,a1,1946
1946-08-14,douglas c-47a (dc-3),G-AGHT,boac,1.0,malta-luqa airpo...,malta,a1,1946
1946-08-15,avro 691 lancastrian c.1,G-AGLU,boac,0.0,bournemouth-hurn...,u.k.,a1,1946
1946-08-16,douglas c-47a (dc-3),42-100792,usaaf,0.0,fukuoka-itazuke ...,japan,a1,1946
1946-08-16,consolidated pby-6a catalina,64011,us navy,0.0,kwajalein airpor...,marshall isl.,a1,1946
1946-08-16,lockheed 14-h2 super electra,OO-CAG,sabena,0.0,ndolo,zambia,a1,1946
1946-08-19,douglas c-47a (dc-3),42-24374,usaaf,5.0,near bled,slovenia,c1,1946
1946-08-20,avro 691 lancastrian c.1,G-AGMF,boac,8.0,rouen,france,a1,1946
1946-08-21,douglas c-47 (dc-3),NC51878,trans-luxury airlines,2.0,"near moline, il",usa,a1,1946
1946-08-22,douglas c-47b (dc-3),43-16276,usaaf,5.0,near garmisch-partenk...,germany,a1,1946
1946-08-22,douglas c-47a (dc-3),42-93450,usaaf,0.0,unknown,unknown country,u1,1946
1946-08-25,douglas c-47a (dc-3),NC88826,american airlines,2.0,"near ashland, ms",usa,a1,1946
1946-08-30,avro 691 lancastrian c.3,G-AGWJ,bsaa,0.0,bathurst-jeshwan...,gambia,a1,1946
1946-08-30,douglas c-47a (dc-3),43-15353,usaaf,0.0,fã¼rth advanced ...,germany,a1,1946
1946-08-31,douglas dakota iii (dc-3),KG665,raf,0.0,manchester-ringw...,u.k.,a1,1946
1946-09-02,lockheed 14-08 super electra,CF-TCJ,tcal,2.0,"near moncton, nb (yqm)",canada,a1,1946
1946-09-02,douglas c-47b (dc-3),KJ819,royal indian af,0.0,barrackpore air ...,india,a1,1946
1946-09-03,douglas dc-3a,F-BAOB,air france,22.0,near kã¸ge,denmark,a1,1946
1946-09-03,douglas c-47b (dc-3),45-1048,usaaf,0.0,"near big delta, ak",usa,a1,1946
1946-09-04,douglas dc-3d,F-BAXD,air france,0.0,near paris-le bourget...,france,a1,1946
1946-09-04,focke-wulf fw 200a-05,OY-DEM,ddl,0.0,london-northolt ...,u.k.,a1,1946
1946-09-04,amiot aac.1 (ju-52),F-BBYS,cgt,0.0,constantine-ain ...,algeria,a2,1946
1946-09-05,douglas c-47a (dc-3),NC57850,trans-luxury airlines,20.0,"near elko, nv",usa,a1,1946
1946-09-05,douglas c-47b (dc-3),A65-115,raaf,0.0,"near darwin, nt",australia,a1,1946
1946-09-06,lockheed 18 lodestar,CU-T16,interamericano,7.0,near esperanza,cuba,a1,1946
1946-09-06,junkers ju-52/3m,CCCP-L35,"aeroflot, turkmenistan",6.0,near darvaza airport,turkmenistan,a1,1946
1946-09-07,douglas c-47 (dc-3),VH-ANM,ana,0.0,sydney-mascot ai...,australia,o1,1946
1946-09-07,avro 685 york i,G-AHEW,bsaa,24.0,near bathurst-yundum ...,gambia,a1,1946
1946-09-07,douglas c-47a (dc-3),NC91002,mt. mckinley airfreight,4.0,"nome, ak",usa,a1,1946
1946-09-09,avro 685 york c.1,MW184,raf,0.0,holmsley south r...,u.k.,a1,1946
1946-09-10,ford 5-at tri-motor,HC-SBI,shell ecuador,0.0,tiputini airport...,ecuador,a1,1946
1946-09-12,douglas c-54a (dc-4),NX91068,pennsylvania-central airlines,0.0,washington-natio...,usa,a1,1946
1946-09-13,douglas dakota iv (dc-3),KJ862,raf,0.0,roma-ciampino ai...,italy,o1,1946
1946-09-13,douglas c-47b (dc-3),43-48559,usaaf,0.0,okinawa-naha afb...,japan,a1,1946
1946-09-15,douglas dakota iii (dc-3),962,rcaf,21.0,"estevan, sk",canada,a1,1946
1946-09-16,consolidated pby-6a catalina,63999,us navy,8.0,"near granite falls, wa",usa,a1,1946
1946-09-17,douglas c-47 (dc-3),OO-AUR,sabena,1.0,brussel-haren ai...,belgium,a1,1946
1946-09-18,douglas dc-4-1009,OO-CBG,sabena,27.0,"near gander, nl",canada,a1,1946
1946-09-19,douglas dakota iv (dc-3),KN529,raf,0.0,yonago-miho air ...,japan,a1,1946
1946-09-20,unknown,Not Reported,cnac,31.0,"near xichang, sichuan...",china,a1,1946
1946-09-22,douglas dakota iii (dc-3),967,rcaf,0.0,gander-rcaf stat...,canada,a1,1946
1946-09-23,curtiss c-46 (r5c-1),50715,usmc,4.0,near majuro,marshall isl.,a1,1946
1946-09-24,lockheed l-049 constellation,NC88831,pan am,0.0,shannon airport ...,ireland,a1,1946
1946-09-25,douglas dakota iv (dc-3),KN414,raf,19.0,near hong kong-kai ta...,hong kong,a1,1946
1946-09-26,short sunderland gr.5,SZ564,raf,0.0,hong kong-kai tak,hong kong,o1,1946
1946-09-27,douglas dc-3a-228d,PP-PCH,panair do brasil,25.0,"near rio de janeiro, rj",brazil,a1,1946
1946-10-01,douglas dc-3,PI-C59 ??,philippine air lines,0.0,bulusan,philippines,a1,1946
1946-10-02,douglas c-47b (dc-3),45-968,usaaf,0.0,hermosillo airpo...,mexico,a1,1946
1946-10-03,douglas c-54e (dc-4),NC90904,american overseas airlines,39.0,near stephenville-har...,canada,a1,1946
1946-10-03,douglas dc-2-115l,G-AGBH,southampton air services,0.0,malta-luqa airpo...,malta,a1,1946
1946-10-03,douglas c-47a (dc-3),43-15286,usaaf,0.0,fort benning-law...,usa,a1,1946
1946-10-04,douglas c-47a (dc-3),42-100915,usaaf,0.0,near koge,denmark,a1,1946
1946-10-06,avro 685 york c.1,MW125,raf,21.0,"near penang, malaysia...",indian ocean,a1,1946
1946-10-07,consolidated pby-5 catalina,08530,us navy,2.0,corpus christi n...,usa,a1,1946
1946-10-08,douglas dc-4,NC30051,united airlines,2.0,near cheyenne airport...,usa,a1,1946
1946-10-09,douglas c-47a (dc-3),42-100456,usaaf,0.0,unknown,unknown country,a1,1946
1946-10-10,amiot aac.1 (ju-52),F-BCAA,air ocean,16.0,near sefrou,morocco,a1,1946
1946-10-11,douglas c-54b (dc-4),NC88729,eastern air lines,0.0,"near alexandria, va",usa,a1,1946
1946-10-12,lockheed l-049 constellation,NC86512,twa,0.0,"newcastle, de",usa,a1,1946
1946-10-13,consolidated pby-5 catalina,Y-87,dutch navy,0.0,near woendi,indonesia,a1,1946
1946-10-15,douglas c-47a (dc-3),43-15647,usaaf,0.0,frankfurt rhein-...,germany,a1,1946
1946-10-16,douglas dc-3,PI-C92,far east air transport,0.0,manila,philippines,u1,1946
1946-10-17,douglas c-47a (dc-3),NC38942,national air transport service,13.0,"laramie, wy",usa,a1,1946
