Date of Accident,Aircraft Type,Aircraft Registration,Operator,Deaths,Location,Country,Category,Year
1929-10-19,sabca (handley page) w.8b,OO-AHK,sabena,0.0,edegem,belgium,a1,1929
1929-10-26,short s.8/1 calcutta,G-AADN,imperial airways,7.0,near la spezia,italy,a1,1929
1929-11-06,junkers g.24bi,D-903,deutsche lufthansa,7.0,"near godstone, surrey",u.k.,a1,1929
1929-11-18,rohrbach ro x romar i,D-1693,deutsche lufthansa,0.0,lã¼beck-travemã¼...,germany,a1,1929
1929-11-27,fokker f.32,NX124M,fokker aircraft corp. of america,0.0,near hempstead-roosev...,usa,a1,1929
1929-12-04,curtiss b-2 condor (condor 18),29-28,usaac,1.0,"goodwater, al",usa,a1,1929
1929-12-12,farman f.180t,F-AIVR,sgta,0.0,toussus-le-noble,france,o1,1929
1929-12-26,fokker f.10,NC5358,western air express,0.0,oakland municipa...,usa,a1,1929
1930-01-19,ford 5-at-c tri-motor,NC9689,maddux airlines,16.0,"oceanside, ca",usa,a1,1930
1930-02-07,junkers r-42 (g.24),J6,chilean af,2.0,near punta arenas,chile,a1,1930
1930-02-08,ford 4-at-a tri-motor,NC2492,private,0.0,"san marcos, tx",usa,a1,1930
1930-02-10,farman f.63bis goliath,F-FHMY,air union,2.0,"marden, kent",u.k.,a1,1930
1930-02-14,dh.66 hercules,G-EBNA,imperial airways,0.0,gaza,israel,a1,1930
1930-02-23,fokker f.10a,NC279E,western air express,3.0,"near san bernardino, ca",usa,a1,1930
1930-03-02,ford 4-at-a tri-motor,R-131,nyrba,0.0,cordoba,argentina,a1,1930
1930-04-08,ford 5-at-c tri-motor,R-148,tri-motor safety airways,0.0,buenos aires,argentina,a1,1930
1930-05-31,handley page w.9a hampstead,VH-ULK,ellyou goldfields development,0.0,mount misim,p.n. guinea,a1,1930
1930-06-05,ford 5-at-b tri-motor,NC9675,colonial air transport,1.0,"boston, ma",usa,a1,1930
1930-06-25,ford 5-at-a tri-motor,NC7739,northwest airways,0.0,chicago municipa...,usa,o1,1930
1930-06-25,fokker f.10a,NC457E,universal airlines,0.0,"chicago, il",usa,o1,1930
1930-06-25,fokker f.10a,NC879E,universal airlines,0.0,"chicago, il",usa,o1,1930
1930-06-25,fokker f.10a,NC803E,universal airlines,0.0,"chicago, il",usa,o1,1930
1930-06-25,fokker f.10a,NC135E,universal airlines,0.0,"chicago, il",usa,o1,1930
1930-06-25,fokker f.10,NC8010,shell oil,0.0,"chicago, il",usa,o1,1930
1930-06-25,fokker f.10,NC5614,northern airlines,0.0,"chicago, il",usa,o1,1930
1930-07-09,farman f.63bis goliath,F-ADFQ,sgta,1.0,aalsmeer,netherlands,a1,1930
1930-07-12,curtiss condor 18,NC.....,curtiss,0.0,"valley stream, ny",usa,a1,1930
1930-08-04,ford jr-3 (5-at-c) tri-motor,A8598,usmc,0.0,"ocotal, nueva se...",nicaragua,a1,1930
1930-08-22,ford 5-at-c tri-motor,OK-FOR,csa,12.0,jihlava (iglau),czech rep.,a1,1930
1930-09-03,fokker f.10a,NC810H,pan am,0.0,santo domingo,dominican rep.,o1,1930
1930-10-30,handley page w.8g,G-EBIX,imperial airways,3.0,"boulogne, paris",france,a1,1930
1930-11-07,junkers g.24,P-BAHA,syndicato condor,1.0,"near iguape, sp",brazil,a1,1930
1930-11-21,ford 4-at-b tri-motor,NC7118,curtiss-wright flying service,0.0,"burbank, ca",usa,o1,1930
1930-11-21,dornier do r4 superwal,I-RONY,sana,6.0,"near cap de creus, spain",mediterranean sea,a1,1930
1930-11-22,fokker f.10a,NC580K,southern air fast express,0.0,dallas-love fiel...,usa,u1,1930
1930-11-24,ford 5-at-c tri-motor,NX419H,ford motor company,2.0,"dearborn, mi",usa,a1,1930
1930-12-20,ford 4-at-e tri-motor,NC9611,pittsburgh airways,0.0,"jennerstown, pa",usa,a1,1930
1930-12-22,fokker f.10,NC5170,western air express,0.0,"alhambra, ca",usa,a1,1930
1931-01-27,ford 5-at-b tri-motor,NC9647,twa,0.0,"harrisburg, pa",usa,a1,1931
1931-02-21,ford tri-motor,Not Reported,panagra,0.0,arequipa airport...,peru,h2,1931
1931-03-31,fokker f.10a,NC999E,twa,8.0,"near bazaar, ks",usa,a1,1931
1931-04-01,ford 5-at-c tri-motor,NC8418,panagra,0.0,ovalle airport (...,chile,a1,1931
1931-04-17,ford 5-at-c tri-motor,CV-FAI,private,0.0,"near mohania, bihar",india,a1,1931
1931-04-18,junkers f.24ko (g.24),D-896,deutsche lufthansa,0.0,gex (ain),france,a2,1931
1931-04-19,dh.66 hercules,G-EBMW,imperial airways,0.0,near kupang,indonesia,a1,1931
1931-04-22,a.w. argosy ii,G-AACH,imperial airways,0.0,london-croydon a...,u.k.,a1,1931
1931-04-29,ford 5-at-c tri-motor,NC421H,national air transport,0.0,"near elyria, oh",usa,a1,1931
1931-06-11,junkers g.24,SE-AAG,ab aerotransport,0.0,malmã¶-bulltofta...,sweden,o1,1931
1931-06-16,a.w. argosy ia,G-EBLO,imperial airways,0.0,aswan,egypt,a1,1931
1931-08-04,fokker f.ix,PH-AFK,klm,0.0,rotterdam-waalha...,netherlands,a1,1931
1931-08-07,fokker f.10a,X-ABCR,mexicana,0.0,"miami, fl",usa,a1,1931
1931-08-09,ford 5-at-b tri-motor,NC9662,american airways,6.0,"cincinnati, oh",usa,a1,1931
1931-08-19,ford 5-at-b tri-motor,NC9554,twa,0.0,"pittsburgh, pa",usa,a1,1931
1931-08-27,sikorsky s.41b,NC41V,boston-maine airways,1.0,"near gloucester, ma",usa,a1,1931
1931-09-19,ford xb-906 (tri-motor),NX9652,ford motor company,2.0,"near dearborn, mi",usa,a1,1931
1931-10-27,ford 5-at-c tri-motor,NC427H,national air transport,0.0,"ashley, in",usa,a1,1931
1931-12-19,ford 4-at-e tri-motor,NC7119,twa,1.0,"oklahoma city, ok",usa,a1,1931
1932-02-08,fokker f.10a,NC812H,transamerican airlines,0.0,"detroit, mi",usa,o1,1932
1932-03-15,ford 4-at-b tri-motor,NC4805,skyway,0.0,blackwell airpor...,usa,o1,1932
1932-03-19,fokker f.10a,NC652E,american airways,7.0,"calimesa, ca",usa,a1,1932
1932-06-27,junkers ps-5 (g.24),CCCP-L718,dobrolet,0.0,nizhnetambovsk,russia,a1,1932
1932-07-10,boeing 80a,NC229M,boeing air transport,0.0,"sterling, il",usa,a1,1932
1932-07-16,ford 5-at-c tri-motor,NC403H,panagra,9.0,near vitacura,chile,a1,1932
1932-07-29,junkers ju-52/3mce,D-2201,deutsche lufthansa,0.0,near schleissheim aer...,germany,a2,1932
1932-08-31,junkers g.24,SE-AAE,ab aerotransport,2.0,tubbergen,netherlands,a1,1932
1932-09-08,fokker f.10a,NC9716,american airways,3.0,"near salt flat, tx",usa,a1,1932
1932-09-17,liorã© et olivier 212,F-AIFE,air union,1.0,selsdon park,u.k.,a1,1932
1932-10-02,ford 5-at-b tri-motor,NC9664,pan am,0.0,"el aceituno, cho...",honduras,a1,1932
1932-10-26,ford 5-at-d tri-motor,unreg.,lab,2.0,"villamontes, gra...",bolivia,a1,1932
1932-12-11,fokker f.10a,NC39N,western air express,0.0,"lynndyl, ut",usa,u1,1932
1932-12-14,ford 5-at-b tri-motor,NC9650,twa,2.0,amarillo-english...,usa,a1,1932
1933-01-13,liorã© et olivier 213,F-AJNS,air union,0.0,poix-de-picardie,france,a1,1933
1933-01-14,curtiss condor 18,NC185H,eastern air transport,2.0,"newark, nj",usa,a1,1933
1933-01-24,ford 5-at-d tri-motor,NC431H,pacific air transport,2.0,"eugene, or",usa,a1,1933
1933-02-10,ford 5-at-b tri-motor,NC9666,twa,0.0,"bakersfield, ca",usa,a1,1933
1933-03-22,ford jr-3 (5-at-c) tri-motor,A8599,usmc,0.0,"virginia beach, va",usa,a1,1933
1933-03-28,a.w. argosy ii,G-AACI,imperial airways,15.0,near diksmuide,belgium,a1,1933
1933-03-31,ford 4-at-b tri-motor,NC7686,private,7.0,"near neodesha, ks",usa,a1,1933
1933-05-27,junkers ju-52/1mcai,D-2356,rdl,0.0,zechliner hã¼tte,germany,a1,1933
1933-06-02,ford 4-at-e tri-motor,NR9614,plane speaker corporation,0.0,hempstead-roosev...,usa,o1,1933
1933-08-11,dornier do r4 superwal,I-RATA,sana,0.0,near valencia,spain,a1,1933
1933-08-13,junkers ps-5 (g.24),CCCP-L743,dobrolet,0.0,not reported,russia,u1,1933
1933-08-29,ford 5-at-b tri-motor,NC9607,twa,5.0,"near quay, nm",usa,a1,1933
1933-09-21,curtiss t-32 condor ii,NC12373,eastern air transport,0.0,"newark, nj",usa,a1,1933
1933-10-18,ford 4-at-b tri-motor,NC4806,private,3.0,managua,nicaragua,a1,1933
1933-11-16,liorã© et olivier 213,F-AIFD,air france,0.0,near beauvais,france,a1,1933
1933-11-21,kalinin k-7,Not Reported,kalinin design bureau,0.0,near kharkov,ukraine,a1,1933
1933-11-24,fokker f.10a,X-ABEA,aerovã­as centrales,0.0,leã³n,mexico,a1,1933
1934-01-15,dewoitine d.332,F-AMMY,air france,10.0,corbigny,france,a1,1934
1934-03-05,ford 4-at-b tri-motor,NC7120,morgan air lines,1.0,toncontã­n,honduras,a1,1934
1934-03-10,junkers f.24k2ay (g.24),D-1019,deutsche lufthansa,0.0,gliwice,poland,a1,1934
1934-03-22,ford 5-at-c tri-motor,NC407H,panagra,4.0,lima-limatambo a...,peru,a1,1934
1934-05-31,liorã© et olivier 213,F-AIVG,air france,2.0,croydon,u.k.,a1,1934
1934-06-09,curtiss t-32 condor ii,NC12354,american airways,7.0,near livingston manor...,usa,a1,1934
1934-06-11,ford c-4a (5-at-d) tri-motor,31-403,usaac,0.0,"camp skeel, osco...",usa,a1,1934
1934-06-11,ford 5-at-c tri-motor,NC8417,panagra,5.0,junin,argentina,a1,1934
1934-06-23,ford 4-at-b tri-motor,NC7685,mulzer flying service,0.0,"columbus, oh",usa,o1,1934
1934-07-01,ford 4-at-d tri-motor,NC7586,private,0.0,"lima, oh",usa,a1,1934
1934-07-27,curtiss at-32c condor ii,CH-170,swissair,12.0,wurmlingen/tuttl...,germany,a1,1934
1934-08-23,junkers ps-5 (g.24),CCCP-L742,dobrolet,0.0,not reported,russia,a1,1934
1934-09-02,ford 5-at-d tri-motor,NC9655,hanford's tri-state airlines,0.0,"cochrane, wi",usa,a1,1934
1934-09-22,handley page w.10,G-EBMM,national aviation displays,4.0,"aston clinton, b...",u.k.,a1,1934
1934-09-27,fokker f.10a,X-ABCS,mexicana,0.0,irapuato,mexico,a1,1934
1934-10-19,dh.86 express,VH-URN,holyman's airways,11.0,near wilsons promonto...,australia,a1,1934
1934-10-26,ford 4-at-e tri-motor,NC8403,ptarmigan airlines,0.0,"flat airport, ak...",usa,a1,1934
1934-10-29,ford 4-at-.  tri-motor,Not Reported,taca de honduras,0.0,la ceiba airport...,honduras,o1,1934
1934-11-06,junkers ju-52/3mge,D-AVAN,deutsche reichsbahn-gesellschaft,5.0,"gross-rackitt, p...",poland,a1,1934
1934-11-15,dh.86 express,VH-USG,qantas,4.0,"near ilfracombe, qld",australia,a1,1934
1934-12-10,ford 4-at-e tri-motor,NM-7,cubana,4.0,near palma soriano,cuba,a1,1934
1934-12-19,curtiss at-32b condor ii,NC12395,american airways,0.0,"buffalo, ny",usa,a1,1934
1934-12-20,douglas dc-2-115a,PH-AJU,klm,7.0,near rutbah wells,iraq,a1,1934
1934-12-28,curtiss t-32c condor ii,NC12363,american airways,0.0,"near wilmurt, ny",usa,a1,1934
1935-01-23,curtiss t-32 condor ii,NC12376,eastern air transport,0.0,"atlanta, ga",usa,a1,1935
1935-01-31,junkers ju-52/3mge,D-AREN,deruluft,11.0,near szczecin,poland,a1,1935
1935-04-06,fokker f.xii,PH-AFL,klm,7.0,near brilon,germany,a1,1935
1935-04-16,consolidated 16 commodore,NC660M,pan am,0.0,"miami, fl",usa,o1,1935
1935-04-25,junkers ju-52/3mho,D-AJYR,deutsche lufthansa,3.0,near hallgarten,germany,a1,1935
1935-04-28,ford 4-at-b tri-motor,NC7863,private,0.0,"gadsden, al",usa,a1,1935
1935-05-06,douglas dc-2-112,NC13785,twa,5.0,"near atlanta, mo",usa,a1,1935
1935-05-07,ford 4-at-.  tri-motor,Not Reported,private,1.0,lake izabal,guatemala,a1,1935
1935-05-18,tupolev ant-20 maxim gorky,CCCP-I20,tupolev,0.0,moscow,russia,a1,1935
1935-05-18,ford 4-at-e tri-motor,NC7864,knowles flying service,3.0,flint-bishop air...,usa,a1,1935
1935-06-22,savoia-marchetti s-66,I-NAVE,ala littoria,0.0,marsaxlokk bay,malta,a1,1935
1935-06-24,ford 5-at-b tri-motor,F-31,saco,10.0,medellã­n-enriqu...,colombia,a1,1935
1935-06-24,ford 5-at-d tri-motor,C-31,scadta,7.0,medellã­n-enriqu...,colombia,a1,1935
1935-07-09,savoia-marchetti s-66,I-REDI,ala littoria,0.0,"near mahã³n, menorca",spain,a1,1935
1935-07-14,fokker f.xxii,PH-AJQ,klm,6.0,near amsterdam-schiph...,netherlands,a1,1935
1935-07-17,douglas dc-2-115e,PH-AKM,klm,0.0,bushehr (bushire...,iran,a1,1935
1935-07-20,douglas dc-2-115e,PH-AKG,klm,13.0,pian san giacomo,switzerland,a1,1935
1935-07-22,junkers ju-52/3m,Not Reported,german af,11.0,hanskã¼hnenburg,germany,a1,1935
1935-07-27,curtiss at-32b condor ii,NC12393,american airways,0.0,"murfreesboro, tn",usa,a1,1935
1935-08-03,douglas dc-2-112,NC13722,twa,0.0,"near albuquerque, nm",usa,a1,1935
1935-10-02,dh.86 express,VH-URT,holyman's airways,5.0,"near flinders island,...",australia,a1,1935
1935-10-06,douglas dc-2a-127,NC14285,standard oil company,3.0,"great salt lake, ut",usa,a1,1935
1935-10-21,curtiss condor 18,NC725K,chamberlin flying service,1.0,"troy, ny",usa,a1,1935
